files,sents,target
北方 通达 公司 客户关系 管理系统 设计 实现,系统 目前 已经 北方 通达 公司 投入使用 利用 系统 公司客户 管理 信息化 手段 使 营销 部门 能够 高效 合理 客户关系 进行 管理 实现 客户资源 有效 分析 利用,0
北方 通达 公司 客户关系 管理系统 设计 实现,本文 针对 北方 通达 公司客户 管理 实际 情况 梳理 客户关系 管理 业务流程 设计 实现 符合 北方 通达 公司 客户关系 管理 现状及 未来 发展趋势 管理系统,1
南华 盆地 南沱 冰期 海水 氧化还原 特征,作者 利用 电感 耦合 等离子体 质谱 （ ICP MS ） 采集 贵州 松桃 钻孔 岩 芯 南 沱组中同 冰期 白云岩 进行 稀土 微量元素 分析 结果表明 研究 区 南沱 组 白云岩 稀土元素 含量 ( 10.33 67.91 ) 10 6 之间 ； Ce Ce 范围 0.72 1.12 平均值 约 0.97 ； Fe 含量 ( 1 470 37 200 ) 10 6 之间 平均值 约 9 902 10 6 ； Mn 含量 ( 4 040 17 500 ) 10 6 之间 平均值 约 10 476 10 6,1
南华 盆地 南沱 冰期 海水 氧化还原 特征,新 元古代 冰期 冰盖 可能 覆盖 整个 地球表面 冰期 海洋环境 条件 真核生物 度过 ― 雪球 地球 ‖ 极端 环境 条件 学术界 普遍 关心 科学 问题,0
南华 盆地 南沱 冰期 海水 氧化还原 特征,冰期 化学 沉积岩 缺乏 严重 制约 冰期 海洋环境 了解,0
南华 盆地 南沱 冰期 海水 氧化还原 特征,贵州 东部 南沱 组中 发育 冰期 白云岩 探讨 一时期 海洋 氧化还原 环境 提供 理想 材料,0
南华 盆地 南沱 冰期 海水 氧化还原 特征,白云岩 高 铁 锰 含量 Ce 无 异常 反映 南华 盆地 南沱 冰期 海洋 基本处于 富铁 缺氧 状态,0
南华 盆地 南沱 冰期 海水 氧化还原 特征,贵州 两个 钻孔 岩 芯 中南 沱组 白云岩 沉积 特征 Ce 异常 特征 对比 分析表明 南华 盆地 南沱 冰期 近岸 海水 氧化 程度较高 可能 反映 冰川 融水 冰期 氧气 进入 海洋 重要 渠道 有氧 滨海 区域 可能 冰期 真核生物 提供 栖息 场所,0
变电设备 巡检 信息管理系统 设计 实现,传统 变电站 人工 巡视 受到 气候 条件 环境因素 人员素质 管理 方式 多方面 制约 存在 巡视 项目 标准 不 对应 纸质 介质 容易 损坏 不利于 修改 信息传输 不 具有 时效性 问题 巡检 质量 低 过程 把控 难度 大 数据共享 度 低,0
变电设备 巡检 信息管理系统 设计 实现,为此 巡检 部门 尝试 利用 信息 钮 IC卡 条形码 手段 巡检 人员 工作 进行 监控 实际效果 不 理想,0
变电设备 巡检 信息管理系统 设计 实现,规范 巡检 作业 流程 提高 巡检 工作效率 提升 巡检 管理水平 已经 成为 电网 管理者 越来越 关注 问题,0
变电设备 巡检 信息管理系统 设计 实现,系统 减轻 巡检 人员 回到 巡检 中心 后 输入 资料 工作量 具有 低成本 轻便 易 操作 可靠性 高等 显著 优点,0
变电设备 巡检 信息管理系统 设计 实现,全文 主要 研究 后台 管理系统 前端 PDA 程序 设计 实现 介绍 变电设备 巡检 技术 发展 状况 RFID 射频识别 技术 Webservices 技术 ADO NET 技术 系统 关键 技术 依据 项目 实际 需求 情况 设计 出 变电设备 巡检 信息管理系统 建设 方案 对系统 主要 模块 设计 进行 详尽 介绍,0
变电设备 巡检 信息管理系统 设计 实现,系统 主要 功能模块 设备 信息管理 任务管理 模板 管理 变电 巡检,0
变电设备 巡检 信息管理系统 设计 实现,论文 针对 以上 问题 现有 变电设备 巡检 相关 技术 进行 分析 研究 基础 上 自主 开发 一套 系统 采用 移动计算 设备 （ PDA ） 获取信息 ； 利用 先进 射频识别 （ RFID ） 技术 标识 辅助 定位 电力设备 ； 采用 Webservices 技术 解决 前端 PDA 后台 系统 数据传输 问题 ； 系统 引入 模板 设计 任务 配置 简单化 模板 化 作业 指导书 配置 个性化 满足 设备 精细化管理 需要 系统 具有 强大 智能化 功能 设备缺陷 管理 巡检 信息 反馈 更具 时效性 实现 巡视 数据 采集 自动化 作业 标准化 巡检 到位 管理控制 规范化,1
变革 坚守 马克思 恩格斯 国家 治理,马克思 恩格斯 国家 治理 思想 共性 批判 资本主义 国家 治理 剥削 劳动者 维护 特权 群体 利益 虚幻 共同体 科学 构想 未来 社会主义 国家 政治 经济 文化 治理 上 维护 人民 群众 利益,0
变革 坚守 马克思 恩格斯 国家 治理,展现 理论 特点 对国家 起源 无产阶级 专政 下 国家 治理 东方 社会 道路 有着 不同 侧重 显现 微妙 差异,0
变革 坚守 马克思 恩格斯 国家 治理,时至今日 时空 形态 生产方式 发生 显著 变化 科学 真理 却 难以 改变,0
变革 坚守 马克思 恩格斯 国家 治理,马克思 恩格斯 国家 治理 思想 具有 历史 穿透力 阐释 力 中国特色社会主义 国家 治理 提供 可资 借鉴 理论 价值,0
后 疫情 时代 农村 次生 社会 风险 深度 治理 探索,后 疫情 时代 农村 社会 治理 应该 调动 多元 主体 参与 整合 党建 引领 政治 资源优势 政府 行政管理 宏观调控 资源优势 多层次 信息 治理 资源优势 农村 道德教育 资源优势 走出 一条 适合 农村 特点 多元 复合 深度 治理 路 治理 资源优势 真正 转化 治理 效能,1
后 疫情 时代 农村 次生 社会 风险 深度 治理 探索,重大 公共 危机 背景 下 原生 风险 往往 会 诱导 产生 相关 次生 社会 风险,0
后 疫情 时代 农村 次生 社会 风险 深度 治理 探索,此次 新冠 肺炎 疫情 防控 表明 广大 农村 存在 上级 高效 动员 基层组织 治理 能力 不足 矛盾 农产品 劳动力 市场 供需 不平衡 矛盾 信息 多方 供给 理性 判断能力 有限 矛盾 公共道德 理性 熟人 社会 行事 逻辑 矛盾 农村 容易 出现 组织 治理 失度 经济秩序 失常 大众 心理 失衡 个体 行为 失范 次生 社会 风险,0
后 疫情 时代 农村 次生 社会 风险 深度 治理 探索,面对 次生 社会 风险 背后 深层次 原因 生成 逻辑 临时性 应急 治理 只能 治标不治本,0
喜马拉雅 中段 吉隆 流域 构造地貌 数字 特征,结果显示 条带 高程 峰顶 面 曲线 周期性变化 较好 响应 区域 构造 展布 表现 逆断层 接触面 背斜 翼部 峰顶 面 抬升 ; 藏南 拆离 构造 以北 北倾 下滑 正断层 上盘 褶皱 轴部 峰顶 面 降低 ; 平均 高程 先 增加 后 稳定 形态 指示 吉隆 流域 具有 高 海拔 低 起伏 特征 隆升 沉降 剥蚀 沉积 过程 长期 作用 地形 证据 ; 地形 起伏 度 平均 坡度 一致 变化 反映 4000 高程 应为 岩性 气候 垂直 分异 界线,1
喜马拉雅 中段 吉隆 流域 构造地貌 数字 特征,本文 基于 普通 数字高程模型 提取 基本 地形 指标 方法 适宜 地形 变化 特征 显著 小 尺度 流域 构造地貌 分析 研究 造山带 地貌 发育 规律 提供 新思路 验证 Aster GDEM2 分析 解释 地形 特征 能力 存在 典型 地貌 标志 识别 缺陷 进一步 研究 数字 地形 尺度效应 地貌 解释 提供 借鉴,1
喜马拉雅 中段 吉隆 流域 构造地貌 数字 特征,造山带 发育 河流 记录 山脉 隆升 历史 流域 地貌 蕴含 丰富 构造 信息 开展 造山带 流域 构造地貌 研究 揭示 地貌 发育 动力 机制 尺度效应 响应 过程 具有 重要意义,0
喜马拉雅 中段 吉隆 流域 构造地貌 数字 特征,受制于 地形 数据 尺度 差异 造山带 小 尺度 流域 数字 地形 特征 构造 响应 之间 关系 常常 难以 解释,0
喜马拉雅 中段 吉隆 流域 构造地貌 数字 特征,利用 Aster GDEM2 选取 喜马拉雅 造山带 中段 小 空间尺度 吉隆 流域 计算 14 76 km 条带 高程 200 等高距 地形 起伏 度 平均 坡度 三类 基本 地形 指标 结合 区域 地质背景 喜马拉雅 隆升 过程 分析 地形 指标 数字 特征 构造 岩性 气候 关系,0
四川省 资源 利用 上线 划定 方法 应用,研究 ( 1 ) 四川省 23 水资源 重点 管控 区 主要 分布 成都平原 经济区 川南 经济区 ; ( 2 ) 土地 资源 重点 管控 区 299 面积 占 31. 21 生态 要素 重点 管控 区 主要 分布 川西北 高原 川 西南 山地 盆周 山地 ; 土地开发 利用效率 低区 主要 工业用地 容积率 Pr ＜ 0 5 单位 城乡建设 地上 G DP 产出 低 所致 针对 土地 开发利用 重点 管控 区 应 重点 加强 土地 集约 节约 利用 ; ( 3 ) 能源 重点 管控 区 353 主要 集中 分布 成都平原 川南 地区 川 东北地区 攀西 地区 需 进一步 优化 区域 能源 结构 减少 环境污染 ; ( 4 ) 自然资源 重点 管控 区 4 主要 耕地 森林 覆盖率 不 达标 所致 研究 针对 不同 管控 区 提出 差异化 管控 要求 地方政府 资源 合理 有序 开发利用 提供 具体 管控 依据 全国 省市 开展 三线 单 资源 利用 上线 划定 工作 提供 技术 方法 借鉴,1
四川省 资源 利用 上线 划定 方法 应用,资源 利用 上线 划定 研究 落实 三线 单 管控 体系 要求 服务 四川省 三线 单 编制工作 具有 重要 理论 现实 指导意义,0
四川省 资源 利用 上线 划定 方法 应用,研究 生态环境 质量 维护 改善 自然资源 资产 保值增值 角度 应用 资源 利用 上线 划定 技术 方法 开展 自然资源 开发利用 总量 效率 评价 提出 水资源 土地 资源 能源 资源 重点 管控 区划 定 模式 形成 资源 利用 上线 重点 管控 区 提出 分区 管控 方案 引导 资源 合理 有序 开发利用,0
市 电业局 结算 管理系统 设计 实现,目前 国内外 电力公司 已经 深入开展 信息系统 发展 ERP 结算系统 方面 开发 应用 形成 各具特色 结算 管理系统,0
市 电业局 结算 管理系统 设计 实现,当前 国内 各类 电力 市场 交易 运营 系统 都 国家电网 统一 原则 进行 建设,0
市 电业局 结算 管理系统 设计 实现,上述 系统 地市 电业局 层面 结算 管理系统 很大 区别 无法 地市 电业局 直接 使用,0
市 电业局 结算 管理系统 设计 实现,必要 根据地 市小 电厂 特有 有效 电能 数据 电价 数据 和网 损 调度 调整 指令 能量 管理系统 运行 数据 市场主体 运行 考核 数据 市场 运营 状态 情况 进行 个性化 开发 国家电网 省网 结算系统 进行 补充,0
市 电业局 结算 管理系统 设计 实现,本文 根据地 市 电业局 层面 小 电厂 小 客户 结算 特点 结合 电力 电量 交易结算 体系 结算 模型 结算 算法 相关 技术 研究 对系统 需求分析 确定 系统 实现 方案,0
市 电业局 结算 管理系统 设计 实现,本文 设计 系统 采用 Flex3 J2EE 多层 体系结构 进行 设计 逻辑 上 整个系统 划分 表现 应用层 业务 服务层 数据服务 层,0
市 电业局 结算 管理系统 设计 实现,系统应用 Oracle9i 数据库服务器 采用 国网 信通 亿 力 科技 有限责任公司 EIC 平台 开发平台 使用 JAVA语言 进行 应用程序 开发,0
市 电业局 结算 管理系统 设计 实现,市 电业局 结算 管理系统 设计 实现 实现 结算 业务 全省 无纸化 管理 统一 规范 结算 业务流程 实现 经营决策 智能 分析 提供数据 基础 有效 促进 福建省 电力 有限公司 电力 电量 结算 业务 集约 规范 提高 管理水平 工作效率,0
市 电业局 结算 管理系统 设计 实现,系统 建成 后 成为 福建省 电力 有限公司 内部 分析 购电 结构 购售 电 合同 执行 情况 重要途径 实现 上 下级 业务 间 顺利 衔接 日常 数据收集 业务 处理 工作 更 快捷 更 高效 更 方便 完成 提高 电力 电量 交易结算 业务 工作效率 提升 客户服务 水平,0
市 电业局 结算 管理系统 设计 实现,本文 设计 实现 地市 电业局 结算 管理系统 运行 Windows2000 2003 操作系统 上 进行 系统 实验室 测试 运行 良好,1
地磁 室内定位 导航系统 研究 实现,无线通信 技术 蓬勃发展 今天 人们 基于 位置服务 需求 日益 增加 基于 无线 定位导航 技术研究 愈发 受到重视,0
地磁 室内定位 导航系统 研究 实现,卫星 信号 可达 露天 环境 下 GPS 能供 高精度 定位 信息 室内环境 下 建筑 钢筋混凝土结构 会 完全 遮蔽 GPS 发出 微波 信号 GPS 无法 供 实时 有效 定位 信息,0
地磁 室内定位 导航系统 研究 实现,智能手机 普及 基于 移动设备 定位服务 获得 越来越 关注,0
地磁 室内定位 导航系统 研究 实现,智能手机 配备 高精度 磁传感器 实时 接收 周边 地磁 信息 凭借着 无需 部署 额外 设备 定位精度 高 优势 地磁 定位 技术 成为 室内定位 领域 昀 受欢迎 新技术,0
地磁 室内定位 导航系统 研究 实现,第二 实践 总结 出 制作 地磁 信息 地图 方法 设计 采集 客户端 进行 地磁 信息采集 采集 信息 使用 三次 样条插值 算法 拟合 计算 得出 周边 信息 生成 定位 匹配 使用 地磁 地图,0
地磁 室内定位 导航系统 研究 实现,第三 磁传感器 加速度传感器 数据 分析 计算 推断出 用户 运动 行为 定位导航 计算 供 准确 数据 支持,0
地磁 室内定位 导航系统 研究 实现,第四 运用 改进 粒子 滤波算法 进行 室内定位 计算 实时 推演 出 用户 位置 ； 使用 蚁群算法 进行 室内 导航 计算 出 优化算法 导航 进行 优化,0
地磁 室内定位 导航系统 研究 实现,昀 后 实验 分析 验证 体现 出 整个 设计 稳定性 合理性 满足 室内定位 导航 需求,0
地磁 室内定位 导航系统 研究 实现,本文 研究 地磁 定位 技术 基础 上 针对 室内环境 特性 设计 实现 一个 基于 iOS 平台 地磁 室内定位 导航系统 工作 主要包括 以下 几个 方面 第一 出 适合 地磁 定位 使用 地磁 信息存储 模型 收集 原始 地磁 信息 进行 坐标系转换 处理 工作 降低 数据收集 工作量 地磁 信息 易于 存储 表达 出 当前 位置 地磁 特征,1
地磁 室内定位 导航系统 研究 实现,本文 设计 实现 出 一套 完整 地磁 室内定位 导航系统 仅 使用 一个 移动终端 就可以 用户 供 定位导航 服务 实地 测试 定位 平均 精度 1.5 2.5 米 平均时间 3 秒 完成 导航 路径 计算 工作,1
地税局 人事 信息管理系统 设计 实现,近年来 经济 发展 社会 不断进步 税收 征管 工作 得到 不断 加强 地税局 日常 认识 信息管理 工作 不论是 内容 上 形式 上 都 发生 极大 变化,0
地税局 人事 信息管理系统 设计 实现,尤其 管理体制 上 采用 垂直 管理 方式 造成 人事 信息管理 工作 工作量 明显 变大,0
地税局 人事 信息管理系统 设计 实现,进一步 满足 当前 人事 信息管理 需求 辅助 规范 人事 信息管理 工作 加强 日常 人事 业务 工作 规范化 建设 提升 人事管理 工作 数据查询 统计和 分析 工作效率,0
地税局 人事 信息管理系统 设计 实现,课题 人事 信息管理系统 研究 背景 意义 概述 国内外 研究 动态 依据 系统 目标 内容 明确 主要 工作 内容,0
地税局 人事 信息管理系统 设计 实现,结合 计算机相关 数据库 软件 网络开发 技术 分析 论证 利用计算机 建立 人事 信息管理系统 可行性 总结 出 人事 信息管理系统 信息 表达 传递 安全 查询 方面 存在 优势,0
地税局 人事 信息管理系统 设计 实现,系统 整合 人事 方面 信息 提升 人事部门 办事效率 减少 人力 花费 支出 使 地税局 人事工作 服务水平 迈上 一个 新 台阶,0
地税局 人事 信息管理系统 设计 实现,本文 国内外 优秀 人事管理 系统软件 进行 深入 研究 分析 吸取 优势 特点 单位 实际 情况 出发 开发设计 出 人事 信息管理系统 应用 实际 地税 人事工作,1
地税局 人事 信息管理系统 设计 实现,构建 基于 软件开发 技术 软件体系结构 知识 数据库开发 技术 一体 三层 C S 结构模型 界面 直观 清晰 操作 方便 灵活 易学 易懂 目标 最终设计 编写出 适合 地税局 人事 信息管理系统,1
地税 征管 档案资料 管理系统 设计 实现,立足于 地税 征管 档案管理 各类 用户群 资料整理 归档管理 两 方面 分析 业务 归结 出 用户 包括 纳税人 数据整理 人员 数据 归档 人员 详细分析 地税 征管 档案管理 流程 采用 UML 建立 功能模型,0
地税 征管 档案资料 管理系统 设计 实现,论文 完成 七个 模块 功能测试 系统 性能测试,0
地税 征管 档案资料 管理系统 设计 实现,测试 建设 地税 征管 档案资料 管理系统 功能 运行可靠性 上 都 达到 预定 设计目标,0
地税 征管 档案资料 管理系统 设计 实现,分析 基础 上 给出 系统 软件结构 设计 采用 数据 层 逻辑 层 功能 层 用户 层 多层结构 设计 完成 包括 资料 登记受理 资料整理 扫描 归档管理 借阅 管理 查询 对比 税源 预警 系统管理 模块 结构设计,0
地税 征管 档案资料 管理系统 设计 实现,核心 表结构 设计 完成 系统 数据库设计 ； 类 设计 顺序图 完成 系统 功能模块 详细设计,0
地税 征管 档案资料 管理系统 设计 实现,使用 MyEclipse 采用 Java语言 完成 资料 登记受理 资料整理 扫描 归档管理 借阅 管理 查询 对比 税源 预警 系统管理 七 大 模块 主要 功能 实现,0
地税 征管 档案资料 管理系统 设计 实现,能够 满足 地税 征管 档案资料 管理 需求 目前 正 全面 推开 使用,0
地税 征管 档案资料 管理系统 设计 实现,本文 基于 J2EE框架 结构 设计 实现 一个 面向 纳税人 地税 征管 单位 综合 业务 平台,1
地税 征管 档案资料 管理系统 设计 实现,论文 地税 征管 档案管理 工作 需求 为基础 分析 现有 地税 征管 管理 工作流程 基础 上 分析 设计 实现 了集 资料 登记受理 资料整理 扫描 归档管理 借阅 管理 查询 对比 税源 预警 系统管理 一体 地税 征管 档案资料 管理系统 系统应用 提高 地税 征管 档案管理 效率 开展 征管 档案管理 工作 提供 辅助 决策 支持,1
地税网 上 办税服务厅 设计 实现,受 客观条件 限制 办税服务厅 工作人员 只能 保持 在一个 相对 固定 数量 办税 服务 空间 时间 传统 办税服务厅 都 难以 再 大 提升,0
地税网 上 办税服务厅 设计 实现,依托 现代 信息技术 进行 网上 办税服务厅 建设 纳税人 提供 灵活 高效 办税 服务 切实 减轻 办税服务厅 工作人员 工作压力 已 成为 地税 部门 提高 办税 服务质量 迫切要求 势在必行,0
地税网 上 办税服务厅 设计 实现,本文 提出 开发 地税网 上 办税服务厅 系统 背景 意义 期间 阅读 大量 国内外 文献 当前 国内外 网上 办税 发展 状况 开发 系统 所用 J2EE Oracle技术 MVC模式 进行 阐述 实际 办税服务厅 办税 场景 得出 网上 办税服务厅 业务需求 业务需求 整体 流程图 业务 框架图 具体 功能分析,0
地税网 上 办税服务厅 设计 实现,随后 进行 系统设计 实现 总体设计 讨论 系统设计 原则 目标 明确 后 对系统 总体 运用 架构 业务 架构 部署 架构 进行 设计 ； 结合 系统 性能需求 对系统 数据库 进行 设计 得出 数据库 E R 图 表结构 设计 ； 进行 详细设计 实现 篇幅 关系 主要 讲述 系统 主要 功能 详细设计 实现 得出 系统 运行 ； 还 考虑 系统 安全 方面 设计,0
地税网 上 办税服务厅 设计 实现,系统开发 完毕 进行 模块 功能测试 性能测试 达到 预期 效果 实现 预期 各项 业务 网上 办税服务厅 办理 减少 税务 人员 工作负荷 纳税人 等候时间 大幅度 提升 税务机关 办税 服务 智慧 化 水平 使 纳税人 办税 更 方便 更 快捷 更 有效率 提高 纳税人 满意度,0
地税网 上 办税服务厅 设计 实现,本文 结合 办税 服务 税收 征管 业务流程 运用 J2EE Oracle数据库 技术 搭建 地税网 上 办税服务厅 包含 身份认证 税务 登记 网上 申报 缴纳 税 （ 费 ） 打印 凭证 查询 统计 功能 实现 实体 办税服务厅 各项 业务 都 网上 办税服务厅 办理 纳税人 走 网路 少 走 马路 不断 优化 纳税 服务 提高 纳税 满意度,1
地税 部门 税收 业务培训 测评 系统 设计 实现,地税 部门 公职人员 税务 培训 提高 综合 素质 有效途径,0
地税 部门 税收 业务培训 测评 系统 设计 实现,开发 一项 针对 培训 工作 具有 应用性 培训 测评 系统 提升 地税 部门 工作人员 综合 业务素质 能力 关键所在,0
地税 部门 税收 业务培训 测评 系统 设计 实现,现阶段 我国 地税 部门 培训 考核 任务 大多数 还 依靠 着较 传统 不 便捷 人工 培训 考核 方式 培训 考核 方法 许多 角度 看来 都 有缺陷 已经 严重 制约 地税 部门 考核 工作,0
地税 部门 税收 业务培训 测评 系统 设计 实现,背景 下 网络 培训 发展 开辟 一条 新 途径 网络 培训 花费 小 满足用户 动态 需求 具有 统一 培训 标准 建立 一个 高效 税收 业务培训 测评 系统 具有 重要 意义,0
地税 部门 税收 业务培训 测评 系统 设计 实现,系统 地税 部门 培训 工作 测评 工作 进行 有效 融合,0
地税 部门 税收 业务培训 测评 系统 设计 实现,测试表明 系统 良好 运行 使 培训 测评 工作 高效 低成本 易于 管理 进行,0
地税 部门 税收 业务培训 测评 系统 设计 实现,本文 税收 业务培训 工作 研究 背景 开发 基于 B S 平台 具有 实际 应用 价值 税收 业务培训 测评 系统,1
地税 部门 税收 业务培训 测评 系统 设计 实现,本文 针对 目前 地税 部门 培训评估 存在 不足 简要 分析 系统设计 开发过程 采用 核心技术 方法 综合利用 当下 最 流行 应用 最广泛 培训 网络 数据库应用 技术 热门 方法 地税 系统 人员 考核 工作 实际 需求 出发 采用 B S 模式 JSP 平台 设计 一个 适合 我国国情 税收 业务培训 测评 系统 体系结构 数据库结构 模块 内容,1
地铁 设备 维护 管理系统 设计 实现,设备 维修 管理系统 设备 台 帐 为基础 预先 定义 设备 预防性维修 策略 自动生成 维修 计划 维修 计划 所需 资源 进行 合理安排 生成 预防性维修 工单 发生 故障 设备 创建 故障 工单,0
地铁 设备 维护 管理系统 设计 实现,工单 进行 检修 维修 作业 作业 完成 后 获取 工单 故障 成本 相关 信息 维修 活动 维修 成本 进行 分析,0
地铁 设备 维护 管理系统 设计 实现,2 B S 模式 三层 体系结构 分析 搭建 地铁 设备 维护 管理系统 总体 架构,0
地铁 设备 维护 管理系统 设计 实现,3 地铁 设备 维修 过程 设计 一个 基于 J2EE 地铁 设备 维护 管理系统 多个 方面 进行 创新 进 测试 验证 系统 符合实际 设备管理 要求,0
地铁 设备 维护 管理系统 设计 实现,系统 特点 主要 体现 以下 几个 方面 ) 系统设计 出 维修 分析 报表 模块 系统 维修 运行 数据 定时 在线 产生 分析 报表 ； ) 自动报警 ； ) 权限设置 灵活 细致 任意 功能 每个 按键 进行 权限分配,0
地铁 设备 维护 管理系统 设计 实现,论文 正是 针对 上述 问题 设备 预防性维修 进行 理论 研究 提出 面向 轨道交通 行业 设备 预防维修 管理 模型 此基础 上 主要 进行 以下 方面 工作 1 本文 地铁 设备 管理业务 进行 详细 调研 基础 上 分析 地铁 设备管理 现状 用户需求 建立 地铁 设备 管理信息系统 功能模型 信息模型,1
地铁 车辆段 综合 管控 信息 平台 设计 实现,国内 城市 轨道交通 建设规模 不断扩大 很多 地铁 建成 后 投入 运营 保证 行车 运行 安全 车辆维护 工作 重要性 越来越 突出,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,目前 国内 城市 轨道交通 车辆 维修保养 方式 固定 周期 规划 几乎 没有 考虑 实际 设备 状态 过度 维修 缺乏 维修 车辆 普遍 导致 劳动力 费用 浪费 留下 安全隐患,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,系统 XX 地铁 2 号线 车辆段 需求 背景 Microsoft Visual Studio 2008 Sqlserve r2 008 基础 开发平台,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,系统 编码 实现 过程 设计 完成 前端 服务器端 编码 后 测试 后 形成 测试报告,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,深入 车辆段 调研 核心 业务流程 进行 分析 完成 平台 系统 需求 工作,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,系统 用户 角色 分为 车辆段 检修 主任 检修 调度 质量 工程师 班组 用户 四个 类型 本文 描述 角色 业务 用例 系统内 外部接口 质量 属性 要求 界面 原型,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,进行 系统 总体设计 质量 属性 设计 组件 设计 模块 详细设计 接口设计 集成 设计 系统 划分 六个 模块 车辆设备 管理 检修 计划 管理 故障 管理 调度 派 工 管理 班组 作业管理 系统管理 针对 系统核心 业务 检修 计划 故障 提报 调度 派 工 管理 班组 作业 采用 UML 工具 画 出 模块 内部 逻辑 顺序图,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,系统 已经 投入运行 2 年 持续 完善 优化 逐步 车辆段 日常 工作流程 固化 系统 加强 内部 管控 实现 满足 地铁 车辆段 需要 管理体系 IT 治理 体系 促进 资源整合 有效 提高 运营 效率 降低 运营 成本,0
地铁 车辆段 综合 管控 信息 平台 设计 实现,本文 地铁 车辆段 信息化 管控 研究课题 重点 研究 地铁 车辆段 车辆 检修 管理 作业计划 制定 设备 全 生命周期管理 故障 管理 核心业务 详细 论述 一个 基于 B S 模式 地铁 车辆段 综合 管控 信息 平台 系统 设计 实现 过程,1
地震 数据 三维图像 系统设计 实现,计算机技术 不断 发展 可视化 技术 各个领域 地位 日益突出 现在 已经 成为 一种 趋势,0
地震 数据 三维图像 系统设计 实现,枯燥 数据 转化 更为 直观 图形 人们 更 容易 发现 数据 内部 之间 隐藏 规律 促进 生产 形成 巨大 经济效益,0
地震 数据 三维图像 系统设计 实现,尤其 地质勘探 领域 地震 数据 可视化 更是 一种 前沿技术 研究 油藏 构造 隐蔽性 油气藏 储层 重要 手段,0
地震 数据 三维图像 系统设计 实现,目前 地质 专家 迫切需要 一套 充分利用 地震 信息 直观 图形 复杂 数据 场 进行 描述 拥有 高精度 地震 数据可视化 软件,0
地震 数据 三维图像 系统设计 实现,基于 上述 设计 一个 基于 地震 数据 三维图像 系统,0
地震 数据 三维图像 系统设计 实现,本文 简单 地震 数据可视化 系统 国内外 发展 现状 课题 研究 意义 进行 阐述,0
地震 数据 三维图像 系统设计 实现,分析 可视化 基本原理 基本 过程 介绍 相关 技术,0
地震 数据 三维图像 系统设计 实现,地震 数据可视化 系统 需求 对系统 进行 模块 划分,0
地震 数据 三维图像 系统设计 实现,地震 数据 入手 详细分析 地震 数据 SEGY 格式 给出 读取 方法 提出 砖块 存储 方法 解决 读取 效率 ； 详细 介绍 波形 绘制 颜色 绘制 方法 纹理贴图 技术 使用 涉及 算法 进行 实现 分析,0
地震 数据 三维图像 系统设计 实现,系统 可视化 基本原理 基本 过程 为基础 使用 Qt OpenGL 技术 地震 数据可视化 系统 需求 实现 地震 数据管理 模块 数据解析 模块 可视化 模块 交互 模块 四大 模块,1
坚持以人民为中心 深入 推进 马克思主义 哲学 中国化,具有 世界 历史 意义 思想体系 全球 传播 过程 必然 会 经历 不同 程度 本土化 改造,0
坚持以人民为中心 深入 推进 马克思主义 哲学 中国化,本土化 必然 必须 是因为 思想体系 普遍性 特殊性 统一,0
坚持以人民为中心 深入 推进 马克思主义 哲学 中国化,中国 已 进入 新 时代 深入 推进 马克思主义 哲学 中国化 历史 成为 当前 未来 一段 时期 中国 马克思主义 哲学 界 必须 完成 一项 重要 工作,0
坚持以人民为中心 深入 推进 马克思主义 哲学 中国化,站稳 人民 根本 立场 马克思主义 哲学 中国化 才 可能 结出 甘甜 果实,0
坚持以人民为中心 深入 推进 马克思主义 哲学 中国化,人民 中心 深入 推进 马克思主义 哲学 中国化 必须 能够 把握 表达 激荡 人民 心中 时代 声音 创新性 激活 存在 人民 心中 哲学 遗产 人民 喜闻乐见 普通话 讲 好 精深 哲学 理,0
城乡居民 养老保险 管理信息系统 设计 实现,2009 年 国家 开展 新农 保 信息化建设 以来 规范 全国 各省市 自主 开发 信息系统 方便 跨 地域 养老保险 关系 转移 国家 出台 一系列 标准规范 保证 全国 信息化 工作 一致 规范 出台 建立 全国 统一 标准化 信息系统 奠定 基础,0
城乡居民 养老保险 管理信息系统 设计 实现,人社部 要求 城乡居民 养老保险 信息系统 采用 省级 集中 方式 建设 数据 省级 集中 统筹 区域 共用 一套 信息系统,0
城乡居民 养老保险 管理信息系统 设计 实现,实现 数据 向上 集中 服务 向下 延伸 统筹 区域 共用 需要 灵活 柔性 城乡居民 养老保险 信息系统,0
城乡居民 养老保险 管理信息系统 设计 实现,信息技术 发展 优势 城乡居民 工作 结合 起来 我国 城乡居民 养老保险 信息化 研究 重要 方面,0
