files,sents
标签 度量 学习 算法研究,标签 学习 数据挖掘 机器学习 领域 一个 重要 研究 方向 已 广泛应用 文档 分类 图像 标注 基因功能 检测 实际 应用 . 有别于 单 标签 分类 问题 标签 学习 样本 带有 多种 标签 信息 输出 空间 类别 标签 集合 个数 标签 数量 增加 成 指数 增长 传统 分类 学习 只 考虑 明确 单一 语义 监督学习 框架 不再 适用 . 当前 标签 学习 存在 两个 核心 部分 刻画 标签 相关性 学习 多对多 映射关系 . 标签 相关性 标签 数据 存在 高维 稀疏 性所 带来 输入输出 空间 差异性 增大 标签 模型 学习 难度 降低 模型 预测 效果 . 称为 标签 学习 不一致性 问题 . 构建 减少 标签 学习 不一致性 模型 标签 学习 研究 具有 重大 理论 研究 意义 同样 很强 应用 价值 . 本文 主要 贡献 如下 第一 针对 标签 数据 存在 不一致性 问题 本文 结合 度量 学习 思想 标签 相对 相似性 角度 提出 学习 符合 标签 标签 相似性 约束 标签 度量 学习 算法 MLMLI . 模型 构建 角度 几乎 所有 标签 学习 算法 都 需要考虑 利用 标签 之间 相关性 构建 特征 标签 之间 多对多 映射关系 . 标签 之间 存在 关联 使 标签 问题 分析 复杂化 ； 多对多 映射关系 加大 模型 训练 预测 难度 . MLMLI 算法 基于 传统 度量 学习 框架 利用 标签 相关性 构建 出 标签 数据 语义 空间 相对 相似性 以此 弱 监督 信息 进行 特征空间 相似性 学习 . 第二 构建 更 紧密 特征 标签 映射关系 本文 结合 回归 模型 度量 学习 提出 一个 统一 学习 算法 MMML 学习 出 度量 矩阵 训练 出 标签 回归 模型 . MMML 算法 度量 矩阵 刻画 特征 投影 标签 向量 维度 权重 相关性 度量 矩阵 下 回归函数 得到 更 紧密 特征 标签 映射关系 ； 度量 矩阵 学习 基于 带 闭式 解 度量 学习 模型 计算效率 上 传统 度量 学习 模型 很大 提升 . 第三 考虑 现实 场景 标签 数据 往往 很 稀少 现状 本文 提出 基于 局部性 半 监督 标签 学习 算法 SeML 算法 . 考虑 全局 映射 局限性 SeML 算法 每个 数据 都 训练 出 一个 映射函数 . 方法 主要基于 局部 平滑 假设 类似 标签 传播 方式 标签 数据 无 标签 数据 相结合 . 本文 大量 实验 表明 以上 算法 场景 有效性 优越性 . 
多模态 数据 融合 传输 关键技术 研究,信息 物理 融合 系统 又称 CPS ( Cyber Physical Systems ) 一个 包含 感知 计算 传输 控制 部分 构成 复杂 系统 . 无线 传感器 网络 ( Wireless Sensor Network WSN ) CPS 重要 组成 负责 真实 环境 进行 观测 感知 感知 数据 网络传输 CPS 上层 应用 使 CPS 系统 能够 了解 观测 环境 当前 状态 实时 观测数据 做出 合理 决策 响应 . WSN 采集 数据 往往 涉及 多种 模态 ( modal ) 数据量 大 存在 冗余信息 考虑 WSN 具有 能量 受限 特点 实现 多模态 感知 数据 高效 传输 保证 QoS 减小 网络 能耗 本文 采取 先对 多模态 采集 数据 进行 融合 再 传输 融合 信息 方式 减小 网络 整体 能耗 促进 网络 寿命 延长 . 本文 主要 工作 如下 （ 1 ） 提出 多模态 数据 融合 算法 . 解决 WSN 采集 数据 普遍存在 缺失值 问题 算法 利用 改进 堆叠 自动编码器 缺失值 进行 插补 获得 完整 数据 避免 丢弃 带有 缺失值 采集 数据 造成 重要信息 流失 . 使用 改进 深度 信念 网络 自动编码器 学习 缺失值 插补 多模态 数据 融合 表示 获得 融合 信息 . （ 2 ） 设计 一种 综合考虑 时延 能耗 传输 可靠性 机会 路由 算法 多模态 融合 信息 进行 传输 . 路由 算法 定义 考虑 能量 效率 传输 时延 QoS 度量 据此 邻居 节点 计算 对应 优先级 参考 用户 期望 时延 可靠性 要求 选取 部分 邻居 节点 转发 数据 候选 节点 最后 提出 转发 节点 确定 协同 策略 候选 节点 选取 一个 最优 节点 转发 数据 数据 成功 传输 下 跳 . （ 3 ） 设计 实现 融合 传输 算法 仿真 平台 . 以上 两种 算法 进行 结合 构成 融合 传输 算法 多模态 环境监测 数据 融合 传输 例 展示 算法 工作流程 仿真 . 
多模 通信终端 设计 实现,信息 社会 发展 浪潮 物联网 （ Internet Thing IOT ） 技术 广泛应用 工业控制 交通运输 安防 各个领域 实现 智能 城市 智能 工业 智慧 物流 基础 . 车联网 （ Internet Vehicles IOV ） 技术 物联网技术 重要 分支 能够 汽车 管控 起到 重要 促进作用 . 互联网 经济 传统 物流 行业 不断创新 作出 相应 改革 转型 仍未 解决 社会物流 总额 持续上升 问题 . 车联网 系统 研究 主要包括 服务端 系统 远程终端 系统 两大块 . 能够 使 终端 适应性 更 强 提高 性能 一定 程度 上 解决目前 交通运输 问题 . 目前 车载 终端 大多 只 实现 GPS定位 GSM GPRS 通信 一些 辅助功能 并未 考虑 车载 终端 场景 实际 运行 情况 . 构建 一种 适应性 强 可靠 低成本 车载 终端 改善 现存 物流 运输问题 降低 社会物流 总额 实现 物流 产业 创新 经济效益 增长 加速 国家 物联网 产业发展 . 本文 基于 运货车 物流 行业 需求 调研 车联网 相关 技术 分析 设计 实现 基于 多模 通信 车载 终端 软硬件 系统 . 本文 传统 车载 终端 情况 行业 需求 相关 技术 进行 简要 需求分析 提出 终端 软硬件 整体结构 . 本文 终端 设计方案 分 模块 进行 终端 MCU 电源管理 外部存储 BD GPS 双模 定位 通信模块 原理图 PCB 设计 实现 . 再次 依据 已有 程序基础 本文 作 SD卡 FATFS 外部存储 底层 驱动程序 移植 外部 存储模块 空间 划分 主要 部分 . 本文 设计 双模 定位模块 控制 解析 程序 设计 GPRS 通信 AT 命令 调用 上层 应用程序 蓝牙 Lw IP协议 应用程序 . 本文 还 实现 JT T 808 交通 通信协议 程序 设计 终端 辅助 模块 显示器 打印机 底层驱动 应用程序 . 本文 分析 多模 终端 实际 运行 情况 结合 排队论 构建 G M 1 K 排队模型 进行 终端 单一 通信 模式 性能分析 多种 通信 模式 对比 性能分析 . 排队模型 仿真 实验 分析 指出 终端 通信 性能 调优 方法 . 最后 测试 终端 功能模块 整体 系统 运行 情况 . 终端 多模 通信 功能模块 测试 结果表明 多模 通信终端 能够 满足 目前 物流 行业 需求 能够 运行 实际 工程 . 
源 异构 数据 融合 关键技术 研究 应用,单一 来源 信息 无法 满足 人们 数据 信息 丰富 度 实时性 准确 可靠性 方面 要求 需要 数据 融合 技术 源数据 得出 估计 判决 增加 数据 置信度 提高 可靠性 降低 不确定性 . 本文 介绍 数据 融合 基本 情况 关键技术 D S 证据理论 主要 研究 对象 提出 一种 基于 D S 证据理论 加权 模糊 型 数据 融合 框架 提出 一种 应用 数据 融合 数据预处理 阶段 去噪 算法 . 主要 工作 创新 点 如下 1 提出 一种 基于 FCM 算法 数据 去噪 方法 . 数据预处理 数据 融合 必不可少 阶段 本文 数据预处理 噪声 数据 问题 数据 相似度 度量 问题 出发 利用 余弦相似度 欧式 距离 加权 最终 构造 一种 基于 FCM 算法 去噪 方法 . 实验 证明 改进 后 算法 噪声 检出率 上 优于 一些 经典算法 . 2 提出 一种 基于 D S 证据理论 加权 模糊 型 数据 融合 框架 . 针对 专家系统 缺乏 客观性 典型 样本 方法 难以 获取 有效 置信区间 问题 分别 使用 模糊 朴素贝叶斯 FCM 算法 生成 方法 判别 方法 构造 一种 复合 模型 . 数据源 不 确定 信息 采用 一种 直观 信度 分配 方法 确定 信任 函数 最后 一种 可信 数学结构 确定 生成 类 BPA 判别 类 BPA 权重 形成 一种 实际 中能 更好 应用 效果 加权 调节 型 数据 融合 模型 . 实验 证明 算法 融合 效果 佳 稳定性 好 尤其 不确定性 数据 较好 融合 . 3 设计 实现 一个 网络攻击 识别 原型 系统 . 本文 提出 改进 算法 应用 实际 攻击 识别 检测 案例 搭建 真实 网络 环境 进行 测试 . 系统 嗅探 工具 抓取 数据包 数据预处理 数据 融合 得出 网络 行为 判断 可视化 模块 展示 出来 . 实验 表明 本文 提出 算法 融合 不仅仅 优于 单 源数据 产生 决策 识别 精度 稳定性 上 更是 优于 一些 经典算法 ； 数据源 存在 不确定性 信息 时 本文 提出 算法 漏报率 误报率 上 更 优秀 性能 ； 本文 设计 实现 攻击 识别系统 能够 有效 识别 攻击 类型 直观 展示 . 
源 数据采集 分析 系统 设计 实现,互联网 飞速发展 网络安全 问题 越来越 严重 大量 网络攻击 监控 数据 采集 下来 等待 分析 . 数据 文本 形式 记录下来 仅靠 人工 分析 是一项 不 可能 完成 工作 . 急需 一套 自动化 分析 系统 数据 定位 统计 维度 计算 . 系统 一个 数据仓库 系统 主要 两大类 数据 原始数据 IP地址 库 （ 简称 IP 库 ） 数据 . 两类 数据 都 具有 源 属性 . 原始数据 多源性 体现 来自 不同 采集 系统 类型 不同 格式 不同 ； IP 库 数据 多源性 体现 三层 IP 库 模型 . 原始数据 含有 基本属性 SourIP ( 源 IP 受 攻击 方 ) DestIP ( 目的 IP 攻击 方 ) IP 库 数据 进行 定位 . 系统 核心 功能 . 面对 海量 原始数据 要求 快速 精确 维度 分析 本文 描述 采用 分布式系统 （ A pa cheHadoop ） 加 关系型数据库 （ SQLServer ） 复合 架构 利用 技术 建设 数据仓库 . 确切的说 ETL 建模 实施 进行 . 原始数据 ETL . 采集 原始 文件 装载 Hadoop HDFS 以后 调用 API 抽取 数据保存 Hive 数据仓库 编写 Map Reduce 程序 目前 已有 格式 区分 处理 清洗 归并 最终加工 一致 数据 所谓 一致 数据 五元 组 模型 . IP 库 数据 ETL . 五元 组 数据 文件 形式 传递 SQLServer . SQLServer 装载 五元 组 数据 一类 重要 字典 数据 IP 库 数据 . 本文 描述 建设 三层 IP 库 模型 满足 不同 关注度 IP 精确定位 . 一层 IP 库 都 关联 建立 全国 行政区划 库 对应 库 至少 包含 省 （ 直辖市 ） 市 （ 区 ） 区 （ 县 ） 三级 地理 区划 . 采集 IP 库 三级 区划 整理 好 ETL 工作量 较大 部分 . 数据仓库 建 好 以后 采用 B S 架构 Web 界面 调用 T SQL （ SQLServer 提供 基于 SQL 编程语言 ） 存储过程 数据仓库 内容 进行 维度 查询 分析 完成 业务 系统 功能 用户 操作 用户权限 用户管理 数据可视化 . 提供 即席 查询 必要 检索 提供 趋势 统计 图表 数据 展现 提供 报告 生产 输出 . 
多用户 空间 数据查询 算法研究,位置服务 （ Location Based Service ） 智能终端 普及 基于 位置 社交网络 （ Geosocial networking ） 应用 人们 生活 息息相关 . 食物 采购 （ Food sourcing ） 基于 位置 推荐 （ Location based recommendation ） Ad hoc 网络 （ Ad hoc networking ） . 类网络 用户 会 发起 多种多样 查询 请求 满足 查询 需求 top 查询 skyline 查询 范围 查询 . 查询 仅 支持 单用户 发起 查询 请求 却 多用户 情景 下 查询 请求 无能为力 . 查询处理 过程 用户 往往 具有 潜藏 偏好 信息 . 查询 却 无法 有效 度量 偏好 信息 查询 不能 精确 满足用户 偏好 . 解决 问题 多用户 空间 数据查询 （ M ul tiple user S pa tial Keyword queries ） 应运而生 . 本文 仅 研究 多用户 空间 数据查询 领域 下 一个 重要 分支 多用户 空间 关键字 查询 （ M ul tiple user Location based Keyword queries 简称 MULK 查询 ） . MULK 查询 能够 返回 一组 靠近 用户 位置 兴趣 点 （ Point Interest 简称 POI ） 能够 较低 代价 用户 提供 供 切换 额外 选择 . 本文 研究 多用户 空间 关键词 查询 （ MULK ） . 用户 基于 位置 社交网络 发起 MULK 查询 时 道路 网络 查询 算法 必须 考虑 因素 . 本文 研究 道路 网络 下 MULK 查询 对此 提出 有效 解决方案 . 本文 主要 工作 包括 （ 1 ） 针对 多用户 空间 数据查询 问题 本文 给出 MULK 形式化 定义 描述 . 本文 提出 一种 基于 动态规划 精确 查询 算法 . 精确 查询 算法 时间复杂度 高 用户 无法 接受 精确 查询 算法 较高 时间 消耗 本文 进一步 设计 两个 近似算法 MULK Appro1 算法 MULK Appro2 算法 . 实验 结果表明 本文 提出 近似算法 短时间内 返回 有效 . （ 2 ） 针对 MULK 查询 用户 偏好 度量 问题 前期 用户 偏好 权重 矩阵 基础 上 本文 提出 一种 交互式 多用户 空间 关键词 查询 算法 这种 算法 能够 用户 进行 多轮 交互 度量 用户 偏好 信息 . （ 3 ） 针对 道路 网络 下 MULK 查询 索引 效率 问题 本文 提出 一种 层级 索引 结构 索引 道路 网络 据此 提出 层级 索引 结构 查询 算法 . 本文 针对 道路 网络 更新 情况 设计 相应 层级 索引 结构 更新 算法 . 
多目标 粒子群 优化算法 应用研究,很多 工程应用 问题 经常 多个 目标 需要 优化 多个 目标 往往 互相冲突 类 问题 称之为 多目标 优化问题 . 单 目标 优化问题 存在 单一 最优解 不同 多目标 优化问题 存在 最优解 不止 一个 一系列 非劣解 组成 最优解 集 构成 . 过去 二十多年 里 多目标 优化 进化计算 领域 引起 广泛 关注 许多 基于 启发式 群 智能 优化 方法 提出 解决 多目标 优化问题 . 粒子群 优化算法 最 典型 群体 智能算法 形式 简洁 收敛速度 快速 参数 调节 机制 灵活 优点 具有 很大 解决 多目标 优化问题 潜力 . 粒子群 优化算法 应用 求解 多目标 问题 时 外部 档案 集 维护 个体 最优解 群体 最优解 选择 开发 开采 平衡 问题 成为 技术 挑战 . 本文 针对 问题 开展 主要 研究 内容 如下 . （ 1 ） 求解 多目标 问题 过程 收敛性 多样性 平衡 管理 问题 . 逆 世代 距离 （ Inverted Generational Distance IGD ） 衡量 解集 收敛性 多样性 综合 指标 . 本文 提出 一个 基于 虚拟 Pareto 前沿面 虚拟 逆 世代 距离 指标 相对 应 提出 基于 指标 多目标 粒子群算法 （ MOPSO vIGD ） . 选择 几个 当前 流行 多目标 进化 算法 MOPSO vIGD 一系列 测试函数 上 进行 比较 证明 求解 多目标 问题 所得 解集 收敛性 多样性 具有 非常明显 优势 . （ 2 ） 多目标 粒子群 优化算法 领导者 选择 问题 . 领导者 选择 策略 粒子群算法 设计 核心 部分 整个 搜索 过程 选择 具有 不同 任务 领导者 非常 必要 . 本文 提出 一个 新 进化 状态 评估 机制 整个 进化 环境 区分 开发 开采 两个 状态 相对 应 提出 两类 领导者 收敛性 领导者 多样性 领导者 . 整个 种群 处于 开采 状态 时 收敛性 领导者 选择 带领 整个 种群 有利于 收敛性 方向 运动 ； 整个 种群 处于 开发 状态 时 多样性 领导者 选择 带领 整个 种群 有利于 多样性 方向 运动 . 提出 一个 改进 基于 参考点 外部 档案 集 维护 策略 有效 提升 所得 解集 多样性 . 最后 部分 集 成为 一个 基于 状态 评估 机制 自适应 多目标 粒子群算法 （ AMOPSO ESE ） 仿真 结果表明 算法 能够 取得 非常 好 性能 . （ 3 ） 本文 提出 多目标 粒子群算法 应用 物资 调度问题 测试 解决 实际问题 能力 . 目前 针对 地震应急 物资 调度 研究 大多 采用 单 目标 优化 方法 多目标 建模 后 加权 系数 转化 单 目标 优化 求解 . 实际上 地震应急 救援 需 兼顾 时效性 公平性 成本 性 多个 目标 目标 之间 权重 系数 难以确定 . 本文 地震应急 物资 调度问题 建立 带 约束 三 目标 优化 模型 利用 本文 提出 两个 多目标 粒子群 优化算法 求解 模型 Pareto 最优解 集 . 决策过程 先 粗后 精 行为模式 提出 兴趣 最优解 集和 邻域 最优解 集 构成 两级 最优解 集来 表示 Pareto 前沿 思路 简化 决策过程 . 仿真 算例 表明 算法 能够 有效 获得 地震应急 物资 优化 调度 方案 方便 引导 决策者 Pareto 前沿 众多 候选解 选择 一个 执行 方案 . 
示例 学习 计算机视觉 应用研究,示例 学习 （ M ul Instance Learning MIL ） 一种 特殊 分类 问题 样本 称为 示例 若干 示例 集合 称为 包 . 示例 学习 问题 包 具有 标签 包中 示例 没有 标签 . 示例 学习 计算机视觉 领域 受到 来自 研究 人员 越来越 关注 许多 视觉 相关 问题 图像分类 视频 注释 都 基于 示例 学习 方法 提出 . 本文 图像 分类 检索 视频 异常 事件 检测 两个 任务 示例 学习 计算机视觉 应用 进行 深入研究 . 本文 提出 一种 基于 示例 选择 示例 学习 模型 聚类 策略 多视图 特征 进行 优化 改进 用于 处理 图片 分类 检索 问题 ； 示例 学习 模型 为基础 结合 字典 学习 算法 解决 视频 异常 事件 检测 问题 ； 最后 实现 两个 算法 依据 实验结果 对比 分析 证明 算法 高效性 . 本文 主要 内容 创新 点 如下 1 ） 基于 示例 选择 示例 学习 算法 聚类 策略 相结合 提出 一种 新 示例 学习 模型 （ Clustering based MIL CMIL ） . 示例 选择 （ 示例 推理 ） 一个 关键步骤 选择 出 正 示例 会 直接 影响 模型 分类器 训练 效果 . 考虑 到正 包中 示例 缺乏 标记 这种 情况 下 适合 采用 聚类 方法 获取 特征空间 隐藏 结构 信息 . 方法 先 正 包中 示例 聚类 若干 聚 类簇 使 聚类 处理 后 示例 具有 隐含 结构 信息 后续操作 并行化 研究 示例 之间 关系 提出 基于 相似性 差异性 一致性 关系 图 以此 为依据 选择 出 正 示例 ； 充分利用 原始 输入数据 多视图 特征空间 进一步 拓展 算法 特征选择 过程 利用 多视图 特征 （ M ul ti View Features ） 训练 多核 支持向量机 （ M ul ti Kernel SVM MK SVM ） 分类器 . 实现 时 并行化 大幅 减少 运行时间 算法 具有 处理 大规模 数据 能力 . 2 ） 提出 一种 引入 异常 学习 （ Anomaly introduced Learning AL ） 方法 检测 异常 事件 . 现有 视频 异常检测 算法 存在 运行时间 久 异常 事件 定位 效果 不 理想 问题 . 针对 问题 本文 基于 图 示例 学习 模型 字典 学习 相结合 . 示例 学习 模型 训练 出 具有 小 计算 开销 粗 分类器 再 改进 后 字典 算法实现 更 精确 评估 . 之前 算法 相比 算法 节省 大量 运行时间 保持 异常 事件 检测 效率 . 特别 引入 异常 视频 数据 训练 示例 学习 模型 分类器 改进 字典 学习 新 字典 学习方法 称为 锚点 字典 学习 （ Anchor Dictionary Learning ADL ） 稀疏 重建 成本 （ S pa rse Reconstruction Cost SRC ） 用来 评估 测试 示例 是否 异常 事件 . 方法 相比 利用 异常 事件 信息 并用 粗过滤器 修剪 测试 示例 减少 计算 SRC 时间 成本 . 实验结果 证明 提出 AL 方法 取得 优秀 效果 . 
多种 医疗 设备 通信 融合 方法 研究 设计,社会 老龄化 慢性 疾病 成为 死亡 主要 原因 事实 基础 上 health health 成为 一个 技术 产业 热点 . 过去 20 年 里 老年人 健康 居家 监测设备 快速 发展 智能相机 跌倒 探测器 监测设备 使用 信息 通信 新技术 雷达 红外 电磁 器件 [ 1 ] . 设备 目的 定义 一个 定量 框架 来判断 显著 偏离 正常 行为 方式 居家 环境 确定 产生 病理 症状 发生 紧急状况 （ 呼吸困难 跌倒 ） . 智能设备 兴起 一系列 健康 管理系统 出现 . 随之 应用 标准 协议 提出 . 国际上 提出 ISO IEEE 11073 标准 提供 个人 健康 设备 医疗系统 之间 通信 ； HL 7 （ Health Level 7 卫生 信息交换 标准 ） 应用 医疗 领域 一种 标准化 医疗 信息 电子 传输协议 [ 2 ] . 许多 技术 都 移动医疗 提供服务 智能手机 云技术 无线 传感器 无线 体域 网 . 本文 研究 分析 个人 健康 设备 通信协议 ISO IEEE 11073 标准 几种 现有 个人 医疗 设备 数据格式 特征 分析 设计 通信 方法 理论基础 . 介绍 论文 实现 健康 通信系统 实现 过程 会 涉及 理论知识 技术知识 . 分析 当前 社会 环境 个人 健康 设备 通信 流程 大众 智能 居家 健康 监测 实际 需求 当前 已有 设备 系统 技术 重难点 研究 提出 一套 完整 个人 健康 设备 移动 管理系统 进行 通信 方法 方法 包含 通信 过程 包含 数据 流程 时序 几个 方面 . 本文 围绕 通信 方法 主要 实现 工作 包括 第一 研究 设计 实现 个人 健康 设备 移动 系统 通信 方法 包括 设计 方法 原理 方法 详细 内容 设计 具体 通信 过程 描述 ； 第二 根据上述 通信 方法 应用 需求 设计 一个 通信 系统框架 实现 医疗 设备 管理系统 进入 操作状态 后 进行 互相 操作 数据传输 获得 直观 显示 ； 最后 采用 蓝牙 android 相关 技术 编码 模拟 实现 上述 通信系统 验证 方法 可行性 . 提高 系统核心 可移植性 通信 底层 核心 部分 采用 标准 C 实现 应用 上层 采用 更加 面向对象 编程语言 进行 实现 . 
多租户 模式 下 云 数据管理 模式 研究 实现,软件即服务 （ SaaS ） 一种 在线 软件 交付 模式 允许 第三方 提供商 提供 软件 服务 供 租户 互联网 上 需 使用 不是 场所 安装 维护 . 目前 越来越 公司 采用 这种 模式 提供 基于 Web 业务 应用程序 . 多租户 SaaS 主要特征 允许 SaaS 供应商 运行 一个 单实例 应用程序 支持 同一 硬件 软件 基础设施 上 多个 租户 . 应用程序 应该 高度 定制 满足 租户 期望 业务需求 . 本文 研究 一种 定制 数据库设计 多租户 应用程序 设计 引入 一个 灵活 扩展 表 （ FET ） 公共 租户 表 （ CTT ） 虚拟 租户 表 （ VTT ） 扩展 表 （ ET ） 组成 . 这种 设计 使 租户 能够 多租户 应用 程序运行 时 执行 期间 创建 弹性 数据库 模式 满足 业务需求 . 基于 设计 多租户 灵活 扩展 表 本文 研究 一种 多租户 数据库访问 服务 . 服务 多租户 关系 表 虚拟 关系 表 结合 起来 使 成为 每个 租户 一个 数据库 . 允许 简单 从中 调用函数 检索 租户 数据 使 租户 不用 花费 金钱 精力 编写 SQL查询 后端 数据管理 代码 允许 专注 业务 创建 Web 移动 桌面应用 程序 . 本文 研究 一种 基于 灵活 扩展 表 多租户 数据管理 服务 . 数据管理 服务 创建 管理 组织 大量 结构化 数据 满足 租户 不同 业务需求 . 单个 数据库 模式 中将 传统 关系数据 虚拟 关系数据 结合 一起 允许 租户 服务 调用函数 管理 数据 . 服务 提出 常用功能 算法 增进 功能 管理 多租户 数据 可行性 有效性 . 本文 设计 一种 软件应用 程序 关系 数据库管理系统 之间 建立 中间 数据库 层 体系结构 设计 用于 灵活 扩展 表 多租户 数据库 模式 存储 访问 多租户 数据 . 数据库 层 结合 多租户 关系 表 虚拟 关系 表 使 协同工作 每个 租户 充当 一个 数据库 . 体系结构 设计 适用于 多租户 数据库环境 环境 可以使用 包含 共享 物理 结构化 表 虚拟 结构化 租户 表 数据库 模式 组合 运行 大多数 业务 域 数据库 . 最后 灵活 扩展 表 技术 实验室 云平台 上 应用 实现 灵活 扩展 表 技术 常见 多租户 数据库 技术 进行 比较 评价 . 
多站点 高效 导航 算法研究 实现,近年来 互联网 发展 特别 O2O 模式 普及 物流业 规模 逐步 增大 . 随之而来 业务员 配送 压力 增大 目前 面临 两个 难题 第一个 难题 配送 地址 增加 以往 业务员 经验 直觉 选择 配送 路径 方法 失效 由此 导致 配送 物品 时 路线 选择 错乱 效率 低下 浪费 能源 . 第二个 难题 业务员 面临 实时 请求 增加 需要 短时间内 规划 出行 路线 . 很多 O2O 业务 用户 下单 后 平台 会 实时 安排 业务员 派送 物品 花费 时间 考虑 地点 派送 顺序 会 导致 服务 效率降低 . 目前 市面上 所有 地图 软件 都 没有 提供 实时 多站点 路径规划 功能 无法 满足用户 多方面 出行 需要 . 本文 TSP 算法 在线 电子地图 相结合 方式 实现 优化 路径 规划 路线 可视化 . 解决 以上 存在 问题 本文 提出 多站点 高效 导航 算法 多站点 高效 导航系统 . 算法 分为 规划 算法 导航 算法 两个 部分 规划 算法设计 本文 K OPT 算法 基础 综合 多种 初始 环路 构造方法 优缺点 适用范围 选择 适合 开发环境 初始 路径 构造算法 . 算法 主要参数 K 进行 择优 实际 测试 对比 最后 论证 得出 K = 4 时 算法 具有 优化 性价比 . 最后 本文 工程 环境 距离矩阵 生成方式 进行 改进 提出 距离矩阵 使用 两点 间 曼哈顿距离 矩阵 替代 两点 间 实际 距离 测试 证明 改进 接受 精度 范围 内 大大缩短 算法 运行时间 . 导航 算法设计 本文 提出 一个 考虑 实时 路况 A 算法 改进 估价 函数 使 算法 搜索 时 避开 拥堵 路段 多站点 高效 导航系统 两点 间 路径 导航 提供支持 . 基于 上述 算法 本文 设计 多站点 高效 导航系统 系统 采用 MVC 架构 结合 百度地图 API 实现 地址 集 优化 路径 规划 路线 展示 用户 提供 导航 路径分析 快速 通知 多种 功能 . 本文 介绍 基础 模块 规划 模块 附加 功能模块 后台 分析 模块 具体 实现 细节 . 最后 实验 本文 提出 系统 算法 进行 测试 验证系统 算法 性能 . 
多端 柔性 直流输电 系统 协调控制 方法 研究,当前 全球 已 投运 在建 直流输电 工程 系统 绝大部分 双端 柔性 系统 这种 输电 形式 发展 已经 较为 成熟 但其 仅 实现 点对点 功率 传输 一端 换流站 故障 时 会 造成 整个系统 瘫痪 . 目前 多端 柔性 直流输电技术 难题 主要 集中 多个 换流站 间 协调 运行 方面 本文 主要 目的 多端 柔性 直流输电 系统 原理研究 控制策略 研究 实现 多端 柔性 直流输电 系统 多个 换流站 间 协调 运行 实现 多端 柔性 直流输电 系统 长期 可靠 运行 利用 电磁 暂态 仿真 软件 PSCAD EMTDC 搭建 五端 VSC HVDC 系统 分别 进行 仿真 验证 分析 证明 控制策略 有效性 合理性 多端 柔性 直流输电技术 应用 提供 理论依据 . 本文 进行 以下 工作 对比 传统 直流输电 优缺点 适用范围 介绍 柔性 直流输电 国内外 主要 工程 研究 现状 ； 总结 柔性 直流输电 相比 传统 直流输电 技术 优势 分析 旋转 坐标系 下 柔性 直流输电 数学模型 ； 分析 总结 出 多端 柔性 直流输电 系统 三种 控制方法 包括 单点 直流电压 控制 直流电压 偏差控制 直流电压 斜率 控制 ； 利用 电磁 暂态 仿真 软件 PSCAD EMTDC 搭建 五端 VSC HVDC 系统 分别 进行 仿真 验证 分析 证明 控制方法 控制 性能 刚性 动态 响应速度 方面 都 不同 缺陷 . 结合 3 种 控制策略 优点 提出 一种 新型 直流电压 控制策略 直流电压 偏差 斜率 控制策略 控制策略 利用 直流电压 偏差控制 偏差 特性 直流电压 斜率 控制 斜率 特性 实现 换流站 直流 功率 跟踪 加快 动态 响应 能力 . 昀 后 利用 电磁 暂态 仿真 软件 PSCAD EMTDC 仿真 平台 搭建 五端 VSC HVDC 系统 针对 直流电压 偏差 斜率 控制策略 特性 进行 三种 运行状态 下 稳态 仿真分析 证明 柔性 多端 直流输电 系统 采用 控制策略 会 具有 较好 稳定性 供电 可靠性 . 
